properties.ITL221NM,County of Interest 
Tees Valley and Durham,0
"Northumberland, and Tyne and Wear",0
Cumbria,0
Greater Manchester,1
Lancashire,0
Cheshire,0
Merseyside,1
East Yorkshire and Northern Lincolnshire,0
North Yorkshire,0
South Yorkshire,1
West Yorkshire,1
Derbyshire and Nottinghamshire,0
"Leicestershire, Rutland and Northamptonshire",0
"Herefordshire, Worcestershire and Warwickshire",0
Shropshire and Staffordshire,0
West Midland,1
East Anglia,0
Essex,0
Inner London - West,0
Inner London - East,0
Outer London - East and North East,0
Outer London - South,0
Outer London - West and North West,0
"Berkshire, Buckinghamshire and Oxfordshire",0
"Surrey, East and West Sussex",0
Hampshire and Isle of Wight,0
Kent,1
"Gloucestershire, Wiltshire and Bath/Bristol area",0
Dorset and Somerset,0
Cornwall and Isles of Scilly,0
Devon,0
West Wales and The Valleys,0
East Wales,0
North Eastern Scotland,0
Highlands and Islands,0
Eastern Scotland,0
West Central Scotland,0
Southern Scotland,0
Northern Ireland,0
