,,,,,,,,,,,Year ,Total_billion,,WorldGDP_billions,Total_GDP_adjusted_billions
,,,,,,,,,,,2022,109.02,,,
,,,,,,,,,,,2021,104.03,11997.41,96292.574,0.00108
,,,,,,,,,,,2020,105.89,12523.33,85238.623,0.00124
,,,,,,,,,,,2019,73.54,14771.98,87536.338,0.00084
,,,,,,,,,,,2018,61.82,17008.95,86084.955,0.000718
,,,,,,,,,,,2017,46.11,19125.34,80945.405,0.00057
,,,,,,,,,,,2016,55.75,20122.14,76267.375,0.000731
,,,,,,,,,,,2015,57.33,23654.02,75042.63,0.000764
,,,,,,,,,,,2014,75.33,24492.48,79321.72,0.00095
,,,,,,,,,,,2013,90.07,25328.26,77290.82,0.00117
,,,,,,,,,,,2012,95.81,26039.54,75116.959,0.00128
,,,,,,,,,,,2011,92.59,27985.29,73747.749,0.00126
,,,,,,,,,,,2010,60.44,31199.71,66435.818,0.00091
,,,,,,,,,,,2009,42.3,32068.87,60731.151,0.000697
,,,,,,,,,,,2008,21.49,31979.65,64108.44,0.000335
,,,,,,,,,,,2007,9.83,31824.48,58443.072,0.000168
,,,,,,,,,,,2006,13.67,32949.69,51762.962,0.000264
,,,,,,,,,,,2005,34.71,34039.87,47792.249,0.000726
,,,,,,,,,,,2004,62.14,33788.31,44116.922,0.00141
,,,,,,,,,,,2003,71.91,34900.09,39193.343,0.00183
,,,,,,,,,,,2002,70.47,39193.34,34900.086,0.00202
,,,,,,,,,,,2001,59.9,44116.92,33788.307,0.00177
,,,,,,,,,,,2000,49.32,47792.25,34039.874,0.00145
,,,,,,,,,,,1999,57.5,51762.96,32949.687,0.00174
,,,,,,,,,,,1998,66.74,58443.07,31824.477,0.0021
,,,,,,,,,,,1997,52.57,64108.44,31979.647,0.00164
,,,,,,,,,,,1996,42.01,60731.15,32068.872,0.00131
,,,,,,,,,,,1995,41.59,66435.82,31199.71,0.00133
,,,,,,,,,,,1994,30.21,73747.75,27985.29,0.00108
,,,,,,,,,,,1993,29.14,75116.96,26039.542,0.00112
,,,,,,,,,,,1992,27.77,77290.82,25328.261,0.0011
,,,,,,,,,,,1991,26.66,79321.72,24492.481,0.00109
,,,,,,,,,,,1990,23.3,75042.63,23654.018,0.000985
,,,,,,,,,,,1989,24.65,76267.38,20122.142,0.00123
,,,,,,,,,,,1988,26.52,80945.41,19125.335,0.00139
,,,,,,,,,,,1987,30.62,86084.96,17008.945,0.0018
,,,,,,,,,,,1986,35.35,87536.34,14771.979,0.00239
,,,,,,,,,,,1985,37.67,85238.62,12523.328,0.00301
,,,,,,,,,,,1984,37.71,96292.57,11997.41,0.00314
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
