Region,Age,Sex,Population,Gender
North East,0,1,76650,Male
North East,5,1,78560,Male
North East,10,1,71365,Male
North East,15,1,77659,Male
North East,20,1,96089,Male
North East,25,1,87732,Male
North East,30,1,79747,Male
North East,35,1,73745,Male
North East,40,1,75146,Male
North East,45,1,88291,Male
North East,50,1,94798,Male
North East,55,1,87603,Male
North East,60,1,76653,Male
North East,65,1,77846,Male
North East,70,1,57590,Male
North East,75,1,43046,Male
North East,80,1,29857,Male
North East,85,1,15525,Male
North East,90,1,6455,Male
North East,0,2,71782,Female
North East,5,2,74531,Female
North East,10,2,67593,Female
North East,15,2,74027,Female
North East,20,2,89945,Female
North East,25,2,85524,Female
North East,30,2,82636,Female
North East,35,2,76568,Female
North East,40,2,78834,Female
North East,45,2,93028,Female
North East,50,2,99188,Female
North East,55,2,91470,Female
North East,60,2,80078,Female
North East,65,2,82690,Female
North East,70,2,62350,Female
North East,75,2,51845,Female
North East,80,2,39788,Female
North East,85,2,25349,Female
North East,90,2,15265,Female
North West,0,1,227079,Male
North West,5,1,226838,Male
North West,10,1,206433,Male
North West,15,1,215380,Male
North West,20,1,242667,Male
North West,25,1,248661,Male
North West,30,1,232658,Male
North West,35,1,213986,Male
North West,40,1,218044,Male
North West,45,1,251293,Male
North West,50,1,253516,Male
North West,55,1,226112,Male
North West,60,1,195850,Male
North West,65,1,203541,Male
North West,70,1,152323,Male
North West,75,1,112699,Male
North West,80,1,75808,Male
North West,85,1,40488,Male
North West,90,1,17514,Male
North West,0,2,215797,Female
North West,5,2,216355,Female
North West,10,2,195640,Female
North West,15,2,205054,Female
North West,20,2,233895,Female
North West,25,2,243494,Female
North West,30,2,234292,Female
North West,35,2,216754,Female
North West,40,2,224509,Female
North West,45,2,258921,Female
North West,50,2,262860,Female
North West,55,2,231213,Female
North West,60,2,200355,Female
North West,65,2,211154,Female
North West,70,2,165291,Female
North West,75,2,132856,Female
North West,80,2,101794,Female
North West,85,2,66600,Female
North West,90,2,41899,Female
East Midlands,0,1,142252,Female
East Midlands,5,1,145198,Female
East Midlands,10,1,131847,Female
East Midlands,15,1,194380,Female
East Midlands,20,1,151218,Female
East Midlands,25,1,137233,Female
East Midlands,30,1,145530,Female
East Midlands,35,1,167026,Female
East Midlands,40,1,169276,Female
East Midlands,45,1,148923,Female
East Midlands,50,1,131655,Female
East Midlands,55,1,138493,Female
East Midlands,60,1,107395,Female
East Midlands,65,1,75016,Female
East Midlands,70,1,51726,Female
East Midlands,75,1,12430,Female
East Midlands,80,1,142252,Female
East Midlands,85,1,142252,Female
East Midlands,90,1,142252,Female
East Midlands,0,2,136144,Female
East Midlands,5,2,139030,Female
East Midlands,10,2,126296,Female
East Midlands,15,2,136647,Female
East Midlands,20,2,155288,Female
East Midlands,25,2,148311,Female
East Midlands,30,2,145509,Female
East Midlands,35,2,140159,Female
East Midlands,40,2,148680,Female
East Midlands,45,2,171765,Female
East Midlands,50,2,172603,Female
East Midlands,55,2,151259,Female
East Midlands,60,2,134980,Female
East Midlands,65,2,143700,Female
East Midlands,70,2,113991,Female
East Midlands,75,2,85415,Female
East Midlands,80,2,65811,Female
East Midlands,85,2,44635,Female
East Midlands,90,2,29186,Female
West Midlands,0,1,187853,Female
West Midlands,5,1,187788,Female
West Midlands,10,1,172253,Female
West Midlands,15,1,246457,Female
West Midlands,20,1,200205,Female
West Midlands,25,1,200534,Female
West Midlands,30,1,184826,Female
West Midlands,35,1,172523,Female
West Midlands,40,1,178343,Female
West Midlands,45,1,200512,Female
West Midlands,50,1,198554,Female
West Midlands,55,1,172532,Female
West Midlands,60,1,152651,Female
West Midlands,65,1,154532,Female
West Midlands,70,1,125940,Female
West Midlands,75,1,91438,Female
West Midlands,80,1,62927,Female
West Midlands,85,1,34405,Female
West Midlands,90,1,14774,Female
West Midlands,0,2,177413,Female
West Midlands,5,2,178611,Female
West Midlands,10,2,164244,Female
West Midlands,15,2,169682,Female
West Midlands,20,2,189682,Female
West Midlands,25,2,193880,Female
West Midlands,30,2,184735,Female
West Midlands,35,2,175256,Female
West Midlands,40,2,178871,Female
West Midlands,45,2,204176,Female
West Midlands,50,2,202778,Female
West Midlands,55,2,174850,Female
West Midlands,60,2,156722,Female
West Midlands,65,2,162276,Female
West Midlands,70,2,136401,Female
West Midlands,75,2,105947,Female
West Midlands,80,2,81773,Female
West Midlands,85,2,54930,Female
West Midlands,90,2,35858,Female
South East,0,1,277863,Male
South East,5,1,187788,Male
South East,10,1,172253,Male
South East,15,1,246457,Male
South East,20,1,200205,Male
South East,25,1,200534,Male
South East,30,1,184826,Male
South East,35,1,172523,Male
South East,40,1,178343,Male
South East,45,1,200512,Male
South East,50,1,198554,Male
South East,55,1,172532,Male
South East,60,1,152651,Male
South East,65,1,154532,Male
South East,70,1,125940,Male
South East,75,1,91438,Male
South East,80,1,62927,Male
South East,85,1,34405,Male
South East,90,1,14774,Male
South East,0,2,264155,Female
South East,5,2,276163,Female
South East,10,2,249175,Female
South East,15,2,256017,Female
South East,20,2,262519,Female
South East,25,2,268065,Female
South East,30,2,279535,Female
South East,35,2,292167,Female
South East,40,2,301612,Female
South East,45,2,330450,Female
South East,50,2,330280,Female
South East,55,2,284835,Female
South East,60,2,247598,Female
South East,65,2,266674,Female
South East,70,2,215656,Female
South East,75,2,164335,Female
South East,80,2,131991,Female
South East,85,2,93177,Female
South East,90,2,64659,Female
South West,0,1,277863,Male
South West,5,1,291047,Male
South West,10,1,262658,Male
South West,15,1,372810,Male
South West,20,1,281569,Male
South West,25,1,277265,Male
South West,30,1,271032,Male
South West,35,1,280383,Male
South West,40,1,293052,Male
South West,45,1,322374,Male
South West,50,1,325605,Male
South West,55,1,280654,Male
South West,60,1,238333,Male
South West,65,1,248284,Male
South West,70,1,195607,Male
South West,75,1,140241,Male
South West,80,1,102099,Male
South West,85,1,59424,Male
South West,90,1,28291,Male
South West,0,2,149104,Female
South West,5,2,154110,Female
South West,10,2,140707,Female
South West,15,2,153384,Female
South West,20,2,164388,Female
South West,25,2,161958,Female
South West,30,2,159084,Female
South West,35,2,156661,Female
South West,40,2,167722,Female
South West,45,2,195459,Female
South West,50,2,202623,Female
South West,55,2,182977,Female
South West,60,2,168570,Female
South West,65,2,185438,Female
South West,70,2,150654,Female
South West,75,2,112672,Female
South West,80,2,90538,Female
South West,85,2,63919,Female
South West,90,2,44434,Female
