Ethnicity ,Region,Value
Asian or Asian British ,North East ,2.87
"Black, African, Caribbean or Black British ",North East ,0.51
Mixed or Multiple Ethnic Groups,North East ,0.87
White,North East ,95.32
Other,North East ,0.43
Asian or Asian British ,North West,6.2
"Black, African, Caribbean or Black British ",North West,1.39
Mixed or Multiple Ethnic Groups,North West,1.57
White,North West,90.21
Other,North West,0.63
Asian or Asian British ,East Midlands,6.48
"Black, African, Caribbean or Black British ",East Midlands,1.8
Mixed or Multiple Ethnic Groups,East Midlands,1.9
White,East Midlands,89.26
Other,East Midlands,0.56
Asian or Asian British ,West Midlands,10.8
"Black, African, Caribbean or Black British ",West Midlands,3.25
Mixed or Multiple Ethnic Groups,West Midlands,2.34
White,West Midlands,82.72
Other,West Midlands,0.89
Asian or Asian British ,South East,5.23
"Black, African, Caribbean or Black British ",South East,1.58
Mixed or Multiple Ethnic Groups,South East,1.94
White,South East,90.66
Other,South East,0.59
Asian or Asian British ,South West,2
"Black, African, Caribbean or Black British ",South West,0.94
Mixed or Multiple Ethnic Groups,South West,1.36
White,South West,95.4
Other,South West,0.3
