Country or Region,Bangladeshi,Chinese,Indian,Pakistani,Other Asian,Black African,Black Caribbean,Other Black,White & Asian,White & Black African,White & Black Caribbean,Other Mixed,White British,White Gypsy/ Irish Traveller,White Irish,Other White,Arab,Other
England and Wales,0.8,0.7,2.52,2.01,1.49,1.76,1.06,0.5,0.61,0.3,0.76,0.52,80.49,0.1,0.95,4.43,0.41,0.59
England,0.82,0.72,2.63,2.1,1.55,1.84,1.11,0.52,0.63,0.3,0.78,0.53,79.75,0.1,0.98,4.58,0.42,0.62
North East,0.42,0.55,0.61,0.76,0.53,0.42,0.05,0.04,0.31,0.14,0.23,0.19,93.63,0.06,0.31,1.33,0.23,0.2
North West,0.65,0.68,1.52,2.69,0.66,0.84,0.33,0.22,0.43,0.26,0.56,0.32,87.08,0.06,0.92,2.15,0.35,0.28
Yorkshire and The Humber,0.42,0.54,1.31,4.28,0.76,0.87,0.44,0.21,0.49,0.18,0.63,0.3,85.76,0.08,0.5,2.46,0.4,0.37
East Midlands,0.29,0.54,3.73,1.08,0.84,0.92,0.64,0.24,0.48,0.19,0.89,0.34,85.4,0.08,0.63,3.16,0.21,0.35
West Midlands,0.94,0.56,3.9,4.06,1.34,1.15,1.55,0.55,0.58,0.16,1.22,0.38,79.16,0.08,0.99,2.49,0.32,0.57
East,0.56,0.57,1.48,1.13,1.01,1.2,0.57,0.24,0.55,0.26,0.64,0.47,85.28,0.14,0.95,4.45,0.18,0.32
London,2.72,1.52,6.64,2.74,4.88,7.02,4.22,2.08,1.24,0.8,1.46,1.45,44.89,0.1,2.15,12.65,1.3,2.14
South East,0.32,0.61,1.76,1.15,1.39,1.01,0.4,0.17,0.68,0.26,0.53,0.47,85.23,0.17,0.85,4.41,0.22,0.37
South West,0.16,0.42,0.65,0.22,0.55,0.46,0.29,0.19,0.4,0.16,0.49,0.31,91.81,0.11,0.54,2.96,0.11,0.19
Wales,0.35,0.45,0.56,0.4,0.53,0.39,0.12,0.08,0.29,0.14,0.36,0.23,93.21,0.09,0.46,1.83,0.31,0.18
