Year,Site,Annual Mean NO2 concentration (µg/m3),Criminal Offences per 1000 people
2020,Camden Kerbside,32.73001093,114
2020,Exeter Roadside,18.75690016,64
2020,Haringey Roadside,33.21857228,105
2020,Oxford Centre Roadside,28.02282806,88
2020,Tower Hamlets Roadside,25.39907016,95
2020,Cambridge Roadside,22.11802888,93
2020,Swansea Roadside,17.618771,82
2020,Carlisle Roadside,18.97193896,106
2020,Chepstow A48,26.209739,57
2020,Chesterfield Roadside,14.89572257,86
2020,Leeds Headingley Kerbside,20.28604495,138
2020,Newcastle Cradlewell Roadside,28.51928221,107
2020,Sandy Roadside,20.41899649,66
2020,York Fishergate,18.82198979,65
2020,Armagh Roadside,21.12027977,64
2020,Storrington Roadside,17.35835314,44
2020,Chatham Roadside,18.54364331,113
2020,Lincoln Canwick Road,21.41758856,120
2020,Southwark A2 Old Kent Road,28.48037983,100
2020,Leamington Spa Rugby Road,11.61799504,81
2020,Belfast Stockman's Lane,33.40624631,91
2020,Blackburn Accrington Road,17.15364234,90
2020,Oldbury Birmingham Road,26.96160297,94
2020,Stockton-on-Tees A1305 Roadside,12.14727581,125
2020,Bradford Mayo Avenue,34.39012047,138
2020,Doncaster A630 Cleveland Street,23.53431699,138
2020,Leicester A594 Roadside,27.82328521,102
2020,Luton A505 Roadside,30.73572994,87
2020,Stoke-on-Trent A50 Roadside,35.50265995,90
2020,Sunderland Wessington Way,13.38496547,113
2020,Widnes Milton Road,24.28797987,99
2020,Birkenhead Borough Road,16.9035056,116
2020,Birmingham A4540 Roadside,29.32927124,106
2020,Cannock A5190 Roadside,14.35026286,54
2020,Christchurch Barrack Road,14.82308772,44
2020,Nottingham Western Boulevard,24.17981618,108
2020,Reading London Road,17.92906892,74
2020,Sheffield Barnsley Road,31.50132582,87
2020,Southampton A33,27.03631574,111
2020,St Helens Linkway,25.02200759,111
2020,Worthing A27 Roadside,26.40602709,72
2020,Ballymena Antrim Road,15.56964981,84
2020,Bristol Temple Way,28.31582748,88
2020,Coventry Binley Road,23.04359649,78
2020,Derby St Alkmund's Way,26.37053703,108
2020,Plymouth Tavistock Road,14.67232085,76
2020,Cardiff Newport Road,19.10506189,94
2020,Portsmouth Anglesea Road,21.25046845,101
2020,Bath A4 Roadside,28.0429421,63
